Information listing created by	marti
Date	07-Dec-2023 23:26:24
Current work part	C:\Users\marti\OneDrive\Ambiente de Trabalho\Projeto MComp\projetoMComp_fem2.fem
Node name	LAPTOP-JJG7VEAE


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector | Connected Nodes
  189                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 68 65 75
  190                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 64 75 63
  191                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 72 77 73
  192                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 75 77 72
  193                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 76 75 64
  194                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 76 77 75
  195                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 73 49 48
  196                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 73 77 49
  197                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 3 76 64
  198                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 3 50 76
  199                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 77 50 49
  200                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 77 76 50
  201                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 78 59 60
  202                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 114 78 113
  203                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 114 59 78
  204                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 60 79 78
  205                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 61 79 60
  206                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 79 80 64
  207                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 79 61 80
  208                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 138 80 61
  209                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 80 3 64
  210                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 80 138 3
  211                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 113 81 112
  212                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 81 78 79
  213                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 81 113 78
  214                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 112 62 111
  215                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 112 81 62
  216                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 63 79 64
  217                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 81 63 62
  218                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 81 79 63
  219                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 4 60 59
  220                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 4 9 60
  221                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 9 61 60
  222                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 61 95 138
  223                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 95 9 94
  224                  | CTRIA3         | 2d_mesh(1)     | Thin Shell(1)  | 95 61 9
 
------------------------------------------------------------
 
